                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90852,                 128.16,                0.53394,                      0,                      0,                      0,                      0,                0.49163,                 176.95,                0.28477,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.0851,                 123.19,                 1.8394,                      0,                      0,                      0,                      0,                0.49151,                 177.47,                0.28457,             0.00018155,             0.00018155,             0.00018155
                      3,                 3.3207,                 109.86,                 1.9514,                      0,                      0,                      0,                      0,                0.49589,                 177.07,                0.28672,             0.00027778,             0.00027778,             0.00027778
                      4,                 1.5606,                 104.39,                0.88199,                      0,                      0,                      0,                      0,                0.50432,                 175.97,                0.29095,             0.00037202,             0.00037202,             0.00037202
                      5,                 2.5006,                 98.796,                 1.4047,                      0,                      0,                      0,                      0,                0.51542,                 171.56,                0.29648,             0.00046429,             0.00046429,             0.00046429
                      6,                 1.6534,                 92.675,                0.86809,                      0,                      0,                      0,                      0,                0.50751,                 163.35,                0.29194,             0.00055457,             0.00055457,             0.00055457
                      7,                 2.7568,                  91.85,                 1.4913,                      0,                      0,                      0,                      0,                0.47265,                 148.86,                0.27308,             0.00064287,             0.00064287,             0.00064287
                      8,                 5.7175,                 60.256,                 2.4145,                      0,                      0,                      0,                      0,                0.39763,                 125.98,                0.23209,             0.00072919,             0.00072919,             0.00072919
                      9,                 5.7198,                 24.995,                 2.3197,                      0,                      0,                      0,                      0,                 0.2983,                 109.84,                0.17713,             0.00081354,             0.00081354,             0.00081354
                     10,                 5.3177,                 15.316,                 2.1778,                      0,                      0,                      0,                      0,                0.25337,                 96.118,                0.15254,              0.0008959,              0.0008959,              0.0008959
                     11,                  4.944,                 9.8783,                 2.0263,                      0,                      0,                      0,                      0,                0.21161,                 88.866,                0.12908,             0.00097628,             0.00097628,             0.00097628
                     12,                 4.4467,                 6.6095,                 1.9301,                      0,                      0,                      0,                      0,                0.21686,                 86.881,                0.13072,              0.0010547,              0.0010547,              0.0010547
                     13,                 3.9252,                 5.0295,                 1.6908,                      0,                      0,                      0,                      0,                 0.3551,                 89.289,                0.20365,              0.0011311,              0.0011311,              0.0011311
                     14,                 3.4038,                 3.9507,                 1.4921,                      0,                      0,                      0,                      0,                 2.2064,                 111.79,                 1.0973,              0.0012055,              0.0012055,              0.0012055
                     15,                 3.4168,                 2.9156,                 1.4448,                      0,                      0,                      0,                      0,                 5.3792,                 155.18,                 2.4493,               0.001278,               0.001278,               0.001278
                     16,                 3.1737,                 2.6082,                 1.3664,                      0,                      0,                      0,                      0,                 6.7401,                 217.18,                 2.8223,              0.0013485,              0.0013485,              0.0013485
                     17,                 3.0324,                 2.4618,                 1.2913,                  4e-05,                0.00107,                0.00085,                0.00032,                 6.4753,                 43.598,                 2.1859,              0.0014029,              0.0014029,              0.0014029
                     18,                 3.0433,                 2.3841,                 1.2416,                0.00175,                0.04482,                0.01435,                0.00408,                 3.9222,                 7.0569,                 1.4788,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.8133,                 2.1528,                 1.1724,                0.68104,                0.02508,                0.04521,                0.01357,                 3.1461,                  4.071,                 1.3204,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.8357,                 2.0936,                 1.1566,                0.66657,                0.14781,                0.10791,                0.03103,                 2.6938,                 2.4995,                 1.1897,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.7984,                 1.9476,                 1.1535,                0.69194,                 0.2201,                0.17048,                0.05034,                 2.5581,                 2.1069,                 1.1352,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.9479,                 1.9737,                 1.1256,                0.17167,                0.34312,                0.22481,                0.07791,                 2.3302,                 1.7609,                 1.0464,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.6738,                 1.9286,                 1.1007,                0.18399,                0.47574,                0.20161,                0.06298,                 2.4751,                 1.8217,                  1.059,              0.0013039,              0.0013039,              0.0013039
                     24,                 2.5809,                   1.88,                 1.0499,                0.20215,                0.55416,                0.24407,                0.08565,                  2.259,                 1.7423,                 1.0189,              0.0012874,              0.0012874,              0.0012874
                     25,                 2.5506,                 1.8176,                 1.0502,                0.20048,                0.50157,                 0.2553,                0.09306,                 2.2048,                 1.6327,                 1.0139,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.6015,                 1.8293,                 1.0558,                0.72464,                0.30843,                0.24213,                0.08439,                 2.2807,                 1.6367,                 1.0219,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.4999,                 1.7575,                 1.0363,                0.74104,                0.32085,                0.26596,                0.09807,                 2.2066,                 1.6527,                 1.0016,              0.0012379,              0.0012379,              0.0012379
                     28,                 2.4575,                 1.7787,                 1.0546,                0.81102,                0.33351,                0.34273,                0.13479,                 2.0342,                 1.4903,                0.97579,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.4497,                 1.6775,                 1.0178,                 0.8107,                0.34045,                0.34799,                0.13897,                 2.0212,                 1.5061,                0.97761,              0.0012049,              0.0012049,              0.0012049
                     30,                  2.412,                 1.7159,                 1.0395,                0.24013,                0.57183,                0.33131,                0.13615,                 2.0458,                 1.5939,                0.98245,              0.0011884,              0.0011884,              0.0011884
